randomise_trials,display,phase,block,audio,type,fricative,step,percent.SS,talker,familiarization.Name,exposure.Progress,test.Progress1,test.Progress2,dose,bias.Joanne,test.Type,test.Button1,test.Button2,spreadsheet
2,Task-Exposure,Exposure,1,pepepe_Xs_18_reconcile.mp3,Ambiguous,SS,,,Peter,,1,,,1x,SH,Blocked,ASI,ASHI,1b-003
2,Task-Exposure,Exposure,1,pepepe_Xs_19_rehearsal.mp3,Ambiguous,SS,,,Peter,,1,,,1x,SH,Blocked,ASI,ASHI,1b-003
2,Task-Exposure,Exposure,1,pepepe_Xs_20_Tennessee.mp3,Ambiguous,SS,,,Peter,,1,,,1x,SH,Blocked,ASI,ASHI,1b-003
,Instructions-Test_1,,,,,,,,,,,,,1x,SH,Blocked,ASI,ASHI,1b-003
3,Task-Test_1,Test_1,1,pepepe_Test_02_mix1.mp3,Test,,2,80,Peter,,,1,,1x,SH,Blocked,ASI,ASHI,1b-003
3,Task-Test_1,Test_1,1,pepepe_Test_03_mix2.mp3,Test,,3,70,Peter,,,1,,1x,SH,Blocked,ASI,ASHI,1b-003
3,Task-Test_1,Test_1,1,pepepe_Test_04_mix3.mp3,Test,,4,60,Peter,,,1,,1x,SH,Blocked,ASI,ASHI,1b-003
3,Task-Test_1,Test_1,1,pepepe_Test_05_mix4.mp3,Test,,5,50,Peter,,,1,,1x,SH,Blocked,ASI,ASHI,1b-003
3,Task-Test_1,Test_1,1,pepepe_Test_06_mix5.mp3,Test,,6,40,Peter,,,1,,1x,SH,Blocked,ASI,ASHI,1b-003
3,Task-Test_1,Test_1,1,pepepe_Test_07_mix6.mp3,Test,,7,30,Peter,,,1,,1x,SH,Blocked,ASI,ASHI,1b-003
3,Task-Test_1,Test_1,1,pepepe_Test_08_mix7.mp3,Test,,8,20,Peter,,,1,,1x,SH,Blocked,ASI,ASHI,1b-003
4,Task-Test_1,Test_1,2,pepepe_Test_02_mix1.mp3,Test,,2,80,Peter,,,1,,1x,SH,Blocked,ASI,ASHI,1b-003
4,Task-Test_1,Test_1,2,pepepe_Test_03_mix2.mp3,Test,,3,70,Peter,,,1,,1x,SH,Blocked,ASI,ASHI,1b-003
4,Task-Test_1,Test_1,2,pepepe_Test_04_mix3.mp3,Test,,4,60,Peter,,,1,,1x,SH,Blocked,ASI,ASHI,1b-003
4,Task-Test_1,Test_1,2,pepepe_Test_05_mix4.mp3,Test,,5,50,Peter,,,1,,1x,SH,Blocked,ASI,ASHI,1b-003
4,Task-Test_1,Test_1,2,pepepe_Test_06_mix5.mp3,Test,,6,40,Peter,,,1,,1x,SH,Blocked,ASI,ASHI,1b-003
4,Task-Test_1,Test_1,2,pepepe_Test_07_mix6.mp3,Test,,7,30,Peter,,,1,,1x,SH,Blocked,ASI,ASHI,1b-003
4,Task-Test_1,Test_1,2,pepepe_Test_08_mix7.mp3,Test,,8,20,Peter,,,1,,1x,SH,Blocked,ASI,ASHI,1b-003
5,Task-Test_1,Test_1,3,pepepe_Test_02_mix1.mp3,Test,,2,80,Peter,,,1,,1x,SH,Blocked,ASI,ASHI,1b-003
5,Task-Test_1,Test_1,3,pepepe_Test_03_mix2.mp3,Test,,3,70,Peter,,,1,,1x,SH,Blocked,ASI,ASHI,1b-003
5,Task-Test_1,Test_1,3,pepepe_Test_04_mix3.mp3,Test,,4,60,Peter,,,1,,1x,SH,Blocked,ASI,ASHI,1b-003
5,Task-Test_1,Test_1,3,pepepe_Test_05_mix4.mp3,Test,,5,50,Peter,,,1,,1x,SH,Blocked,ASI,ASHI,1b-003
5,Task-Test_1,Test_1,3,pepepe_Test_06_mix5.mp3,Test,,6,40,Peter,,,1,,1x,SH,Blocked,ASI,ASHI,1b-003
5,Task-Test_1,Test_1,3,pepepe_Test_07_mix6.mp3,Test,,7,30,Peter,,,1,,1x,SH,Blocked,ASI,ASHI,1b-003
5,Task-Test_1,Test_1,3,pepepe_Test_08_mix7.mp3,Test,,8,20,Peter,,,1,,1x,SH,Blocked,ASI,ASHI,1b-003
6,Task-Test_1,Test_1,4,pepepe_Test_02_mix1.mp3,Test,,2,80,Peter,,,1,,1x,SH,Blocked,ASI,ASHI,1b-003
6,Task-Test_1,Test_1,4,pepepe_Test_03_mix2.mp3,Test,,3,70,Peter,,,1,,1x,SH,Blocked,ASI,ASHI,1b-003
6,Task-Test_1,Test_1,4,pepepe_Test_04_mix3.mp3,Test,,4,60,Peter,,,1,,1x,SH,Blocked,ASI,ASHI,1b-003
6,Task-Test_1,Test_1,4,pepepe_Test_05_mix4.mp3,Test,,5,50,Peter,,,1,,1x,SH,Blocked,ASI,ASHI,1b-003
6,Task-Test_1,Test_1,4,pepepe_Test_06_mix5.mp3,Test,,6,40,Peter,,,1,,1x,SH,Blocked,ASI,ASHI,1b-003
6,Task-Test_1,Test_1,4,pepepe_Test_07_mix6.mp3,Test,,7,30,Peter,,,1,,1x,SH,Blocked,ASI,ASHI,1b-003
6,Task-Test_1,Test_1,4,pepepe_Test_08_mix7.mp3,Test,,8,20,Peter,,,1,,1x,SH,Blocked,ASI,ASHI,1b-003
7,Task-Test_1,Test_1,5,pepepe_Test_02_mix1.mp3,Test,,2,80,Peter,,,1,,1x,SH,Blocked,ASI,ASHI,1b-003
7,Task-Test_1,Test_1,5,pepepe_Test_03_mix2.mp3,Test,,3,70,Peter,,,1,,1x,SH,Blocked,ASI,ASHI,1b-003
7,Task-Test_1,Test_1,5,pepepe_Test_04_mix3.mp3,Test,,4,60,Peter,,,1,,1x,SH,Blocked,ASI,ASHI,1b-003
7,Task-Test_1,Test_1,5,pepepe_Test_05_mix4.mp3,Test,,5,50,Peter,,,1,,1x,SH,Blocked,ASI,ASHI,1b-003
7,Task-Test_1,Test_1,5,pepepe_Test_06_mix5.mp3,Test,,6,40,Peter,,,1,,1x,SH,Blocked,ASI,ASHI,1b-003
7,Task-Test_1,Test_1,5,pepepe_Test_07_mix6.mp3,Test,,7,30,Peter,,,1,,1x,SH,Blocked,ASI,ASHI,1b-003
7,Task-Test_1,Test_1,5,pepepe_Test_08_mix7.mp3,Test,,8,20,Peter,,,1,,1x,SH,Blocked,ASI,ASHI,1b-003
,Instructions-Test_2,,,,,,,,,,,,,1x,SH,Blocked,ASI,ASHI,1b-003
13,Task-Test_2,Test_2,1,f1f1f1_Test_02_mix1.mp3,Test,,2,80,Joanne,,,,1,1x,SH,Blocked,ASI,ASHI,1b-003
13,Task-Test_2,Test_2,1,f1f1f1_Test_03_mix2.mp3,Test,,3,70,Joanne,,,,1,1x,SH,Blocked,ASI,ASHI,1b-003
13,Task-Test_2,Test_2,1,f1f1f1_Test_04_mix3.mp3,Test,,4,60,Joanne,,,,1,1x,SH,Blocked,ASI,ASHI,1b-003
13,Task-Test_2,Test_2,1,f1f1f1_Test_05_mix4.mp3,Test,,5,50,Joanne,,,,1,1x,SH,Blocked,ASI,ASHI,1b-003
13,Task-Test_2,Test_2,1,f1f1f1_Test_06_mix5.mp3,Test,,6,40,Joanne,,,,1,1x,SH,Blocked,ASI,ASHI,1b-003
13,Task-Test_2,Test_2,1,f1f1f1_Test_07_mix6.mp3,Test,,7,30,Joanne,,,,1,1x,SH,Blocked,ASI,ASHI,1b-003
13,Task-Test_2,Test_2,1,f1f1f1_Test_08_mix7.mp3,Test,,8,20,Joanne,,,,1,1x,SH,Blocked,ASI,ASHI,1b-003
14,Task-Test_2,Test_2,2,f1f1f1_Test_02_mix1.mp3,Test,,2,80,Joanne,,,,1,1x,SH,Blocked,ASI,ASHI,1b-003
14,Task-Test_2,Test_2,2,f1f1f1_Test_03_mix2.mp3,Test,,3,70,Joanne,,,,1,1x,SH,Blocked,ASI,ASHI,1b-003
14,Task-Test_2,Test_2,2,f1f1f1_Test_04_mix3.mp3,Test,,4,60,Joanne,,,,1,1x,SH,Blocked,ASI,ASHI,1b-003
14,Task-Test_2,Test_2,2,f1f1f1_Test_05_mix4.mp3,Test,,5,50,Joanne,,,,1,1x,SH,Blocked,ASI,ASHI,1b-003
14,Task-Test_2,Test_2,2,f1f1f1_Test_06_mix5.mp3,Test,,6,40,Joanne,,,,1,1x,SH,Blocked,ASI,ASHI,1b-003
14,Task-Test_2,Test_2,2,f1f1f1_Test_07_mix6.mp3,Test,,7,30,Joanne,,,,1,1x,SH,Blocked,ASI,ASHI,1b-003
14,Task-Test_2,Test_2,2,f1f1f1_Test_08_mix7.mp3,Test,,8,20,Joanne,,,,1,1x,SH,Blocked,ASI,ASHI,1b-003
15,Task-Test_2,Test_2,3,f1f1f1_Test_02_mix1.mp3,Test,,2,80,Joanne,,,,1,1x,SH,Blocked,ASI,ASHI,1b-003
15,Task-Test_2,Test_2,3,f1f1f1_Test_03_mix2.mp3,Test,,3,70,Joanne,,,,1,1x,SH,Blocked,ASI,ASHI,1b-003
15,Task-Test_2,Test_2,3,f1f1f1_Test_04_mix3.mp3,Test,,4,60,Joanne,,,,1,1x,SH,Blocked,ASI,ASHI,1b-003
15,Task-Test_2,Test_2,3,f1f1f1_Test_05_mix4.mp3,Test,,5,50,Joanne,,,,1,1x,SH,Blocked,ASI,ASHI,1b-003
15,Task-Test_2,Test_2,3,f1f1f1_Test_06_mix5.mp3,Test,,6,40,Joanne,,,,1,1x,SH,Blocked,ASI,ASHI,1b-003
15,Task-Test_2,Test_2,3,f1f1f1_Test_07_mix6.mp3,Test,,7,30,Joanne,,,,1,1x,SH,Blocked,ASI,ASHI,1b-003
15,Task-Test_2,Test_2,3,f1f1f1_Test_08_mix7.mp3,Test,,8,20,Joanne,,,,1,1x,SH,Blocked,ASI,ASHI,1b-003
16,Task-Test_2,Test_2,4,f1f1f1_Test_02_mix1.mp3,Test,,2,80,Joanne,,,,1,1x,SH,Blocked,ASI,ASHI,1b-003
16,Task-Test_2,Test_2,4,f1f1f1_Test_03_mix2.mp3,Test,,3,70,Joanne,,,,1,1x,SH,Blocked,ASI,ASHI,1b-003
16,Task-Test_2,Test_2,4,f1f1f1_Test_04_mix3.mp3,Test,,4,60,Joanne,,,,1,1x,SH,Blocked,ASI,ASHI,1b-003
16,Task-Test_2,Test_2,4,f1f1f1_Test_05_mix4.mp3,Test,,5,50,Joanne,,,,1,1x,SH,Blocked,ASI,ASHI,1b-003
16,Task-Test_2,Test_2,4,f1f1f1_Test_06_mix5.mp3,Test,,6,40,Joanne,,,,1,1x,SH,Blocked,ASI,ASHI,1b-003
16,Task-Test_2,Test_2,4,f1f1f1_Test_07_mix6.mp3,Test,,7,30,Joanne,,,,1,1x,SH,Blocked,ASI,ASHI,1b-003
16,Task-Test_2,Test_2,4,f1f1f1_Test_08_mix7.mp3,Test,,8,20,Joanne,,,,1,1x,SH,Blocked,ASI,ASHI,1b-003
17,Task-Test_2,Test_2,5,f1f1f1_Test_02_mix1.mp3,Test,,2,80,Joanne,,,,1,1x,SH,Blocked,ASI,ASHI,1b-003
17,Task-Test_2,Test_2,5,f1f1f1_Test_03_mix2.mp3,Test,,3,70,Joanne,,,,1,1x,SH,Blocked,ASI,ASHI,1b-003
17,Task-Test_2,Test_2,5,f1f1f1_Test_04_mix3.mp3,Test,,4,60,Joanne,,,,1,1x,SH,Blocked,ASI,ASHI,1b-003
17,Task-Test_2,Test_2,5,f1f1f1_Test_05_mix4.mp3,Test,,5,50,Joanne,,,,1,1x,SH,Blocked,ASI,ASHI,1b-003
17,Task-Test_2,Test_2,5,f1f1f1_Test_06_mix5.mp3,Test,,6,40,Joanne,,,,1,1x,SH,Blocked,ASI,ASHI,1b-003
17,Task-Test_2,Test_2,5,f1f1f1_Test_07_mix6.mp3,Test,,7,30,Joanne,,,,1,1x,SH,Blocked,ASI,ASHI,1b-003
17,Task-Test_2,Test_2,5,f1f1f1_Test_08_mix7.mp3,Test,,8,20,Joanne,,,,1,1x,SH,Blocked,ASI,ASHI,1b-003
,Fin,,,,,,,,,,,,,1x,SH,Blocked,ASI,ASHI,1b-003
